id,release_date,movie,production_budget,domestic_gross,worldwide_gross
78,2017-04-21,The Promise,,,
79,2010-11-24,The Nutcracker in 3D,,,
80,2017-12-13,Bright,,,
81,2019-12-31,Army of the Dead,,,
82,1996-05-10,Twister,,,
83,2005-06-03,Cinderella Man,,,
84,2018-09-14,The Predator,,,
85,2005-07-08,Fantastic Four,,,
86,2001-02-09,Hannibal,,,
87,2003-07-25,Seabiscuit,,,
88,2000-12-22,Cast Away,,,
89,2006-11-17,Happy Feet,,,
90,2001-12-07,Ocean's Eleven,,,
91,2004-07-23,The Bourne Supremacy,,,
92,1997-07-25,Air Force One,,,
93,2009-04-03,Fast & Furious,,,
94,2008-03-14,Horton Hears a Who,,,
95,2014-03-21,Divergent,,,
96,2012-09-28,Hotel Transylvania,,,
97,2019-04-05,Shazam!,,,
98,2007-11-21,Enchanted,,,
99,2012-02-10,Safe House,,,
100,2007-07-20,I Now Pronounce You Chuck and Larry,,,
1,2007-06-08,Ocean's Thirteen,,,
2,2009-12-25,Itâs Complicated,,,
3,1998-11-20,Enemy of the State,,,
4,2006-09-29,Open Season,,,
5,2011-11-04,Tower Heist,,,
6,2000-11-22,102 Dalmatians,,,
7,2012-03-30,Mirror Mirror,,,
8,2006-12-08,The Holiday,,,
9,2006-06-16,The Fast and the Furious: Tokyo Drift,,,
10,2005-12-09,Memoirs of a Geisha,,,
11,2001-03-16,Enemy at the Gates,,,
12,1993-06-18,Last Action Hero,,,
13,2003-09-26,The Rundown,,,
14,2011-11-23,Arthur Christmas,,,
15,2017-01-20,xXx: Return of Xander Cage,,,
16,1998-11-13,Meet Joe Black,,,
17,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,,,
18,2002-02-08,Collateral Damage,,,
19,2002-03-15,Showtime,,,
20,1995-06-30,Judge Dredd,,,
21,2007-03-02,Zodiac,,,
22,2010-08-13,Scott Pilgrim vs. The World,,,
23,2003-03-28,The Core,,,
24,1997-05-09,Father's Day,,,
25,2017-12-20,The Greatest Showman,,,
26,2002-06-14,Scooby-Doo,,,
27,2000-07-28,Nutty Professor II: The Klumps,,,
28,2013-07-19,RED 2,,,
29,2006-06-23,Click,,,
30,2006-12-15,Charlotte's Web,,,
31,2008-02-14,Jumper,,,
32,2008-07-11,Hellboy II: The Golden Army,,,
33,2005-05-27,The Longest Yard,,,
34,2010-08-13,The Expendables,,,
35,2000-11-17,The 6th Day,,,
36,2020-02-21,Call of the Wild,,,
37,2003-05-23,Bruce Almighty,,,
38,2012-03-23,The Hunger Games,,,
39,2011-05-26,The Hangover Part II,,,
40,1996-05-21,Mission: Impossible,,,
41,2017-02-10,The Lego Batman Movie,,,
42,2015-09-25,Hotel Transylvania 2,,,
43,1992-06-18,Batman Returns,,,
44,1999-05-07,The Mummy,,,
45,2006-05-19,Over the Hedge,,,
46,2002-06-21,Lilo & Stitch,,,
47,1998-05-08,Deep Impact,,,
48,2013-07-12,Grown Ups 2,,,
49,2011-12-16,Alvin and the Chipmunks: Chipwrecked,,,
50,2008-06-20,Get Smart,,,
51,2005-03-11,Robots,,,
52,2010-02-19,Shutter Island,,,
53,2003-12-12,Something's Gotta Give,,,
54,2008-11-26,Four Christmases,,,
55,1997-06-27,Face/Off,,,
56,2008-12-25,Bedtime Stories,,,
57,2002-07-12,Road to Perdition,,,
58,2011-02-11,Just Go With It,,,
59,2003-02-14,Daredevil,,,
60,2008-09-26,Eagle Eye,,,
61,1997-06-06,Con Air,,,
62,2010-12-17,Yogi Bear,,,
63,2003-12-25,Cold Mountain,,,
64,2010-01-15,The Book of Eli,,,
65,1997-11-26,Flubber,,,
66,1999-07-23,The Haunting,,,
67,1996-11-15,Space Jam,,,
68,2014-10-17,Fury,,,
69,2018-09-28,Smallfoot,,,
70,2006-02-10,The Pink Panther,,,
71,2011-07-08,Zookeeper,,,
72,2008-12-12,The Day the Earth Stood Still,,,
73,1997-08-08,Conspiracy Theory,,,
74,1998-06-12,"Six Days, Seven Nights",,,
75,2002-05-24,Spirit: Stallion of the Cimarron,,,
76,2001-06-08,Swordfish,,,
77,1999-12-31,Fantasia 2000 (Theatrical Release),,,
78,1998-04-03,Lost In Space,,,
79,2004-07-30,The Manchurian Candidate,,,
80,2006-11-22,DÃ©jÃ Vu,,,
81,2019-06-07,The Secret Life of Pets 2,,,
82,2005-06-24,Bewitched,,,
83,2002-03-08,The Time Machine,,,
84,1998-10-02,What Dreams May Come,,,
85,1998-12-25,Mighty Joe Young,,,
86,2005-10-28,The Legend of Zorro,,,
87,2000-11-10,Little Nicky,,,
88,2009-09-25,Surrogates,,,
89,2001-06-08,Evolution,,,
90,2005-08-26,The Brothers Grimm,,,
91,1996-12-13,Mars Attacks!,,,
92,2006-04-14,The Wild,,,
93,2013-12-20,Walking with Dinosaurs,,,
94,2000-12-22,Thirteen Days,,,
95,1996-12-06,Daylight,,,
96,2015-10-23,The Last Witch Hunter,,,
97,2014-02-21,Pompeii,,,
98,2000-05-12,Battlefield Earth: A Saga of the Year 3000,,,
99,2003-11-14,Looney Tunes: Back in Action,,,
100,2009-12-18,Nine,,,
1,2003-11-26,Timeline,,,
2,2010-04-22,Oceans,,,
3,1998-11-25,Babe: Pig in the City,,,
4,1997-12-25,The Postman,,,
5,2000-11-10,Red Planet,,,
6,2007-01-12,Arthur et les Minimoys,,,
7,2007-08-17,The Invasion,,,
8,2005-09-02,A Sound of Thunder,,,
9,1994-06-15,The Lion King,,,
10,2012-02-10,Journey 2: The Mysterious Island,,,
11,2011-11-11,Jack and Jill,,,
12,2001-12-21,A Beautiful Mind,,,
13,2013-09-27,Cloudy with a Chance of Meatballs 2,,,
14,2002-10-04,Red Dragon,,,
15,2004-03-05,Hidalgo,,,
16,2003-07-11,The League of Extraordinary Gentlemen,,,
17,2004-08-20,Exorcist: The Beginning,,,
18,2012-12-31,AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,,,
19,2016-02-12,The Little Prince,,,
20,2019-01-22,Renegades,,,
21,2018-07-20,The Equalizer 2,,,
22,2013-07-03,Despicable Me 2,,,
23,2003-06-06,2 Fast 2 Furious,,,
24,2006-12-25,Children of Men,,,
25,2000-06-30,The Adventures of Rocky & Bullwinkle,,,
26,2016-07-08,The Secret Life of Pets,,,
27,1996-07-02,Independence Day,,,
28,2018-11-09,Dr. Seussâ The Grinch,,,
29,2016-12-21,Sing,,,
30,2017-06-30,Despicable Me 3,,,
31,1997-05-22,The Lost World: Jurassic Park,,,
